objectid,objectid_1,beef_id,beef_nom,beef_nbcom,date,source,nom_region,datemaj,gouv,nvbas,perim,surf,shape_le_2,nvgeom,st_areashape,st_lengthshape
1,1,13,Est 77,154,23 05 2018,REGION,Est 77,23 01 2019,1,0,392792.830848,2076355481,392792.830848,1,2076355481,392792.830848282
2,2,7,Grand Roissy - Le Bourget,50,14 12 2016,SRDEII,Grand Roissy - Le Bourget,23 01 2019,1,0,117390.890753,419683860.5,117390.890753,0,419683860.5,117390.890752979
3,3,17,Porte Sud du Grand Paris,54,14 12 2016,SRDEII,Porte Sud du Grand Paris,23 01 2019,1,0,150179.073873,421979723,150179.073873,0,421979723,150179.07387348
4,4,4,Paris Ouest La Défense (EPT 4),11,14 12 2016,SRDEII,EPT 4,23 01 2019,1,0,42745.2304422,59087010.5,42745.2304422,0,59087010.5,42745.2304421757
5,5,5,Boucle Nord de Seine (EPT 5),7,14 12 2016,SRDEII,EPT 5,23 01 2019,1,0,32467.4981322,49367881,32467.4981322,0,49367881,32467.4981321878
6,6,6,Plaine Commune (EPT 6),9,14 12 2016,SRDEII,EPT 6,23 01 2019,1,0,34481.9586041,48183690.5,34481.9586041,0,48183690.5,34481.9586041313
7,7,8,Est Ensemble (EPT 8),9,14 12 2016,SRDEII,EPT 8,23 01 2019,1,0,29932.8118118,39473206.5,29932.8118118,0,39473206.5,29932.8118117676
8,8,10,Paris Est Marne & Bois (EPT10),13,14 12 2016,SRDEII,EPT 10,23 01 2019,1,0,50803.1781621,56237385,50803.1781621,0,56237385,50803.1781621394
9,9,11,Grand Paris Sud Est Avenir (EPT 11),16,14 12 2016,SRDEII,EPT 11,23 01 2019,1,0,64752.7519437,100244086.5,64752.7519437,0,100244086.5,64752.7519437325
10,10,12,Grand-Orly Seine Bièvre (EPT 12),24,14 12 2016,SRDEII,EPT 12,23 01 2019,1,0,63665.1185255,124472988,63665.1185255,0,124472988,63665.1185254802
11,11,2,Vallée Sud Grand Paris (EPT 2),11,14 12 2016,SRDEII,EPT 2,23 01 2019,1,0,34088.4086142,47233408.5,34088.4086142,0,47233408.5,34088.4086141826
12,12,3,Grand Paris Seine Ouest (EPT 3),8,14 12 2016,SRDEII,EPT 3,23 01 2019,1,0,35620.1408186,36360137.5,35620.1408186,0,36360137.5,35620.1408186338
13,13,16,Centre 77,51,14 12 2016,SRDEII,Centre 77,23 01 2019,1,0,187562.859274,519252728,187562.859274,0,519252728,187562.859274063
14,14,18,Sud 77,111,14 12 2016,SRDEII,Sud 77,23 01 2019,1,0,238986.974565,1502421658,238986.974565,0,1502421658,238986.97456451
15,15,19,Sud 91,101,14 12 2016,SRDEII,Sud 91,23 01 2019,1,0,205539.185485,1138579418.5,205539.185485,0,1138579418.5,205539.185484893
16,16,20,Sud Ouest Francilien,109,14 12 2016,SRDEII,Sud Ouest Francilien,23 01 2019,1,0,219868.843935,1179126316.5,219868.843935,0,1179126316.5,219868.84393502
17,17,21,Versailles Saclay,72,14 12 2016,SRDEII,Versailles Saclay,23 01 2019,1,0,169142.198083,550607297.5,169142.198083,0,550607297.5,169142.198083222
18,18,22,Seine-Aval,123,14 12 2016,SRDEII,Seine-Aval,23 01 2019,1,0,191724.05803,890656697.5,191724.05803,0,890656697.5,191724.058030214
19,19,23,Est 95,70,14 12 2016,SRDEII,Est 95,23 01 2019,1,0,119130.163514,409329985.5,119130.163514,0,409329985.5,119130.163513805
20,20,24,Ouest 95,89,14 12 2016,SRDEII,Ouest 95,23 01 2019,1,0,159353.747949,651367386.5,159353.747949,0,651367386.5,159353.747949366
21,21,1,Paris (EPT 1),20,14 12 2016,SRDEII,EPT 1 Paris,23 01 2019,1,0,50071.5587819,104897377,50071.5587819,0,104897377,50071.5587818783
22,22,9,Grand Paris Grand Est (EPT 9),14,14 12 2016,SRDEII,EPT 9,23 01 2019,1,0,48413.9411999,72100672,48413.9411999,0,72100672,48413.9411998824
23,23,25,Brie-Créçois,62,23 05 2018,REGION,Brie-Créçois,23 01 2019,1,1,178493.483321,627056017,178493.483321,1,627056017,178493.483320987
24,24,14,Marne La Vallée,48,23 05 2018,REGION,Marne La Vallée,23 01 2019,1,0,142364.167401,377843639,142364.167401,1,377843639,142364.167400742
25,25,15,Nord Est 77,64,23 05 2018,REGION,Nord Est 77,23 01 2019,1,0,155087.891578,561626545,155087.891578,1,561626545,155087.891578302
